fighter,opponent_fighter,date,sig_str,sig_str_misses,sig_str_attempts,opponent_sig_str,opponent_sig_str_misses,opponent_sig_str_attempts,total_str,total_str_misses,total_str_attempts,opponent_total_str,opponent_total_str_misses,opponent_total_str_attempts,td,td_misses,td_attempts,opponent_td,opponent_td_misses,opponent_td_attempts,head,head_misses,head_attempts,opponent_head,opponent_head_misses,opponent_head_attempts,body,body_misses,body_attempts,opponent_body,opponent_body_misses,opponent_body_attempts,leg,leg_misses,leg_attempts,opponent_leg,opponent_leg_misses,opponent_leg_attempts,distance,distance_misses,distance_attempts,opponent_distance,opponent_distance_misses,opponent_distance_attempts,clinch,clinch_misses,clinch_attempts,opponent_clinch,opponent_clinch_misses,opponent_clinch_attempts,ground,ground_misses,ground_attempts,opponent_ground,opponent_ground_misses,opponent_ground_attempts
Demian Maia,Ed Herman,2008-04-19,15,6,21,15,17,32,35,11,46,44,18,62,1,7,8,1,0,1,12,5,17,11,16,27,2,1,3,3,0,3,1,0,1,1,1,2,3,0,3,0,2,2,0,1,1,4,0,4,12,5,17,11,15,26
Demian Maia,Neil Magny,2015-08-01,13,4,17,0,4,4,56,12,68,11,5,16,2,0,2,0,0,0,13,4,17,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,13,4,17,0,0,0
Demian Maia,Jason MacDonald,2008-08-09,30,29,59,7,8,15,103,42,145,36,9,45,2,2,4,0,2,2,26,27,53,4,8,12,3,1,4,0,0,0,1,1,2,3,0,3,2,7,9,2,6,8,3,2,5,2,0,2,25,20,45,3,2,5
Demian Maia,Carlos Condit,2016-08-27,1,0,1,1,5,6,5,0,5,1,5,6,1,0,1,0,0,0,1,0,1,1,4,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,1,0,1,0,1,1
Demian Maia,Mario Miranda,2010-08-28,30,19,49,14,27,41,104,42,146,29,31,60,5,2,7,0,0,0,21,15,36,5,22,27,5,4,9,2,3,5,4,0,4,7,2,9,6,10,16,9,17,26,3,5,8,1,3,4,21,4,25,4,7,11
Demian Maia,Nate Marquardt,2009-08-29,0,2,2,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Demian Maia,Kendall Grove,2010-12-04,42,37,79,18,50,68,71,40,111,50,56,106,5,8,13,0,0,0,29,35,64,17,49,66,11,1,12,1,0,1,2,1,3,0,1,1,12,28,40,13,49,62,1,1,2,4,1,5,29,8,37,1,0,1
Demian Maia,Gunnar Nelson,2015-12-12,47,11,58,2,2,4,193,36,229,7,3,10,2,6,8,1,0,1,45,11,56,2,2,4,2,0,2,0,0,0,0,0,0,0,0,0,3,1,4,1,1,2,4,0,4,0,0,0,40,10,50,1,1,2
Demian Maia,Jon Fitch,2013-02-02,12,5,17,6,10,16,63,11,74,36,19,55,7,10,17,0,0,0,7,4,11,3,9,12,1,1,2,1,1,2,4,0,4,2,0,2,1,4,5,5,9,14,3,1,4,0,1,1,8,0,8,1,0,1
Demian Maia,Lyman Good,2019-02-02,0,1,1,0,2,2,8,1,9,0,2,2,2,2,4,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Demian Maia,Dan Miller,2010-02-06,30,47,77,20,75,95,67,55,122,25,75,100,4,3,7,0,0,0,22,44,66,6,58,64,6,3,9,5,15,20,2,0,2,9,2,11,20,41,61,15,68,83,8,4,12,2,3,5,2,2,4,3,4,7
Demian Maia,Chael Sonnen,2009-02-21,6,11,17,8,16,24,6,11,17,18,16,34,1,3,4,0,0,0,5,9,14,5,15,20,1,2,3,1,0,1,0,0,0,2,1,3,5,10,15,7,14,21,0,1,1,0,0,0,1,0,1,1,2,3
Demian Maia,Rory MacDonald,2014-02-22,51,69,120,75,138,213,81,71,152,77,138,215,2,20,22,0,0,0,37,66,103,62,135,197,7,2,9,12,3,15,7,1,8,1,0,1,30,65,95,74,133,207,0,0,0,0,2,2,21,4,25,1,3,4
Demian Maia,Chris Weidman,2012-01-28,51,118,169,58,108,166,60,118,178,68,110,178,0,7,7,4,2,6,35,110,145,43,102,145,14,6,20,10,5,15,2,2,4,5,1,6,39,104,143,49,100,149,12,14,26,7,8,15,0,0,0,2,0,2
Demian Maia,Dong Hyun Kim,2012-07-07,1,0,1,8,0,8,3,0,3,8,0,8,1,2,3,0,0,0,1,0,1,7,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,4,0,4,1,0,1,3,0,3
Demian Maia,Tyron Woodley,2017-07-29,28,61,89,57,96,153,29,61,90,57,96,153,0,21,21,0,0,0,23,60,83,40,91,131,2,1,3,13,5,18,3,0,3,4,0,4,26,61,87,56,96,152,2,0,2,1,0,1,0,0,0,0,0,0
Demian Maia,Mark Munoz,2011-06-11,32,46,78,44,37,81,40,47,87,75,40,115,0,7,7,3,4,7,19,42,61,19,35,54,8,3,11,12,2,14,5,1,6,13,0,13,20,44,64,18,32,50,12,2,14,3,1,4,0,0,0,23,4,27
Demian Maia,Anthony Rocco Martin,2019-06-29,3,9,12,22,73,95,74,12,86,36,73,109,3,6,9,0,0,0,3,9,12,13,68,81,0,0,0,7,5,12,0,0,0,2,0,2,2,9,11,16,70,86,0,0,0,1,0,1,1,0,1,5,3,8
Demian Maia,Gilbert Burns,2020-03-14,4,3,7,13,3,16,4,3,7,14,3,17,2,0,2,0,0,0,4,3,7,10,3,13,0,0,0,1,0,1,0,0,0,2,0,2,4,3,7,5,2,7,0,0,0,0,0,0,0,0,0,8,1,9
Demian Maia,Ryan LaFlare,2015-03-21,36,33,69,25,66,91,76,45,121,54,67,121,5,9,14,0,0,0,32,33,65,8,52,60,3,0,3,5,10,15,1,0,1,12,4,16,12,27,39,24,64,88,0,0,0,0,0,0,24,6,30,1,2,3
Demian Maia,Jorge Masvidal,2017-05-13,23,15,38,39,24,63,67,26,93,55,25,80,4,8,12,0,0,0,22,15,37,27,21,48,0,0,0,7,2,9,1,0,1,5,1,6,2,9,11,15,14,29,6,2,8,6,0,6,15,4,19,18,10,28
Demian Maia,Matt Brown,2016-05-14,17,3,20,10,13,23,91,19,110,29,17,46,3,7,10,0,0,0,17,3,20,9,11,20,0,0,0,0,1,1,0,0,0,1,1,2,2,1,3,2,10,12,0,0,0,0,1,1,15,2,17,8,2,10
Demian Maia,Kamaru Usman,2018-05-19,27,60,87,66,143,209,33,61,94,97,147,244,0,15,15,0,0,0,26,59,85,49,132,181,1,1,2,4,8,12,0,0,0,13,3,16,25,60,85,55,132,187,1,0,1,1,4,5,1,0,1,10,7,17
Demian Maia,Alexander Yakovlev,2014-05-31,29,44,73,22,21,43,83,45,128,24,21,45,2,1,3,1,1,2,27,43,70,8,12,20,2,0,2,1,2,3,0,1,1,13,7,20,4,30,34,20,19,39,0,0,0,1,1,2,25,14,39,1,1,2
Demian Maia,Nate Quarry,2008-11-15,2,2,4,0,0,0,22,10,32,8,0,8,1,1,2,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Demian Maia,Jorge Santiago,2011-10-08,24,43,67,18,38,56,95,64,159,29,41,70,4,7,11,0,1,1,16,42,58,9,36,45,5,1,6,2,1,3,3,0,3,7,1,8,10,35,45,16,36,52,5,2,7,2,2,4,9,6,15,0,0,0
Demian Maia,Jake Shields,2013-10-09,24,51,75,35,77,112,98,62,160,97,91,188,3,4,7,1,11,12,15,46,61,19,68,87,8,5,13,3,5,8,1,0,1,13,4,17,13,44,57,21,74,95,7,5,12,1,2,3,4,2,6,13,1,14
Demian Maia,Rick Story,2012-10-13,5,3,8,3,2,5,9,3,12,10,2,12,3,2,5,0,0,0,4,3,7,1,2,3,1,0,1,2,0,2,0,0,0,0,0,0,1,0,1,2,2,4,0,0,0,1,0,1,4,3,7,0,0,0
Demian Maia,Ryan Jensen,2007-10-20,3,0,3,2,1,3,9,2,11,6,1,7,2,0,2,0,0,0,1,0,1,2,1,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,2,2,0,2
Demian Maia,Ben Askren,2019-10-26,69,53,122,63,64,127,84,53,137,102,66,168,0,0,0,4,3,7,44,44,88,54,62,116,25,9,34,4,2,6,0,0,0,5,0,5,49,50,99,46,62,108,17,3,20,11,2,13,3,0,3,6,0,6
Demian Maia,Colby Covington,2017-10-28,53,98,151,88,229,317,59,98,157,121,230,351,0,13,13,0,0,0,53,96,149,65,221,286,0,1,1,1,3,4,0,1,1,22,5,27,51,97,148,81,223,304,2,1,3,4,4,8,0,0,0,3,2,5
Denis Kang,Xavier Foupa-Pokam,2009-04-18,31,34,65,23,30,53,103,38,141,32,30,62,5,1,6,0,0,0,25,30,55,8,26,34,6,4,10,12,3,15,0,0,0,3,1,4,9,25,34,18,27,45,3,4,7,4,2,6,19,5,24,1,1,2
Denis Kang,Alan Belcher,2009-01-17,26,29,55,9,19,28,54,31,85,9,19,28,3,2,5,0,0,0,17,28,45,3,16,19,7,1,8,2,3,5,2,0,2,4,0,4,16,23,39,8,19,27,3,1,4,1,0,1,7,5,12,0,0,0
Denis Kang,Michael Bisping,2009-11-14,11,42,53,29,56,85,27,48,75,50,60,110,0,1,1,3,0,3,8,38,46,24,55,79,2,2,4,3,1,4,1,2,3,2,0,2,6,34,40,12,29,41,0,2,2,2,1,3,5,6,11,15,26,41
Denis Stojnic,Cain Velasquez,2009-02-07,7,32,39,88,52,140,8,33,41,124,59,183,0,0,0,1,3,4,5,31,36,47,50,97,0,0,0,17,2,19,2,1,3,24,0,24,4,30,34,30,37,67,3,2,5,48,13,61,0,0,0,10,2,12
Denis Stojnic,Stefan Struve,2009-06-13,16,44,60,4,2,6,36,49,85,37,6,43,0,0,0,0,1,1,14,44,58,1,1,2,2,0,2,3,1,4,0,0,0,0,0,0,0,5,5,3,2,5,0,1,1,1,0,1,16,38,54,0,0,0
